activityId,actors,category,subcategory,city
299,艺人：杨丽萍,话剧歌剧,音乐剧,深圳
300,,儿童亲子,其他儿童亲子,上海
301,艺人：郭德纲、于谦,曲苑杂坛,其他曲苑杂坛,北京
302,,音乐会,其他音乐会,兰州
303,,话剧歌剧,话剧,兰州
304,艺人：周子琰,演唱会,其他演唱会,北京
305,,展览休闲,展会,深圳
306,,话剧歌剧,音乐剧,深圳
307,,话剧歌剧,话剧,青岛
308,艺人：周杰伦,演唱会,其他演唱会,天津
309,,音乐会,其他音乐会,深圳
310,,音乐会,其他音乐会,上海
311,艺人：陈伟霆,演唱会,其他演唱会,广州
312,,儿童亲子,其他儿童亲子,重庆
313,,舞蹈芭蕾,舞蹈,广州
314,艺人：吴青峰,演唱会,流行,南京
315,,儿童亲子,其他儿童亲子,长春
316,,展览休闲,展会,上海
317,,儿童亲子,其他儿童亲子,泉州
318,,体育,篮球,深圳
319,,曲苑杂坛,戏曲,上海
320,,儿童亲子,其他儿童亲子,佛山
321,艺人：Tizzy T,演唱会,其他演唱会,广州
322,,话剧歌剧,话剧,杭州
323,,舞蹈芭蕾,舞蹈,上海
324,,音乐会,其他音乐会,合肥
325,,音乐会,其他音乐会,济南
326,艺人：李宗盛,演唱会,其他演唱会,洛阳
327,艺人：李宗盛,演唱会,流行,南通
328,,儿童亲子,其他儿童亲子,重庆
329,,音乐会,其他音乐会,深圳
330,,展览休闲,特色体验,呼和浩特
331,,话剧歌剧,话剧,上海
332,,儿童亲子,其他儿童亲子,上海
333,,曲苑杂坛,戏曲,上海
334,,话剧歌剧,话剧,上海
335,,话剧歌剧,音乐剧,杭州
336,,体育,其他体育,上海
337,,儿童亲子,其他儿童亲子,石家庄
338,艺人：Madilyn Bailey,演唱会,其他演唱会,深圳
339,,儿童亲子,其他儿童亲子,广州
340,艺人：吴青峰,展览休闲,特色体验,上海
341,,音乐会,其他音乐会,北京
342,,展览休闲,特色体验,成都
343,艺人：郭麒麟,话剧歌剧,话剧,南京
344,,音乐会,其他音乐会,上海
345,,展览休闲,展会,北京
346,,儿童亲子,其他儿童亲子,大连
347,艺人：GREEN DAY,演唱会,其他演唱会,中国香港
348,,展览休闲,展会,上海
349,,展览休闲,特色体验,上海
350,,儿童亲子,其他儿童亲子,深圳
351,,展览休闲,特色体验,郑州
352,,展览休闲,展会,西安
353,,儿童亲子,其他儿童亲子,北京
354,,展览休闲,特色体验,郑州
355,艺人：BOY STORY,演唱会,流行,南京
356,,曲苑杂坛,相声,大连
357,,儿童亲子,其他儿童亲子,厦门
358,,话剧歌剧,话剧,上海
359,艺人：小林未郁,演唱会,其他演唱会,广州
360,,音乐会,其他音乐会,上海
361,,儿童亲子,其他儿童亲子,深圳
362,,曲苑杂坛,其他曲苑杂坛,天津
363,艺人：CHRISTOPHER,演唱会,其他演唱会,南京
364,,展览休闲,特色体验,南京
365,艺人：杨丽萍,舞蹈芭蕾,舞蹈,广州
366,,音乐会,其他音乐会,北京
367,,音乐会,其他音乐会,杭州
368,,话剧歌剧,话剧,北京
369,,儿童亲子,其他儿童亲子,济南
370,,体育,其他体育,上海
371,,话剧歌剧,话剧,杭州
372,,儿童亲子,其他儿童亲子,北京
373,,音乐会,其他音乐会,上海
374,,展览休闲,展会,上海
