activityTags,actors,business,categoryid,categoryname,cityid,cityname,couponTags,description,id,imgurl,isAtmospheric,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,privilegeTags,projectid,promotionTags,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,venue,venuecity,venueid,verticalPic
[],艺人：梁心颐,0,1,演唱会,1580,杭州,[],艺人：梁心颐,1_1_610134716338,1806379867,False,0,1,0,0,【万有音乐系】《 LARA 梁心颐 - HOME 演唱会》--杭州站,【万有音乐系】《 LARA 梁心颐 - HOME 演唱会》--杭州站,180.0,180-280,280.0,[],610134716338,[],售票中,,2020.03.26-12.31,3,13,其他,,MAO Livehouse杭州,杭州,60608,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01wMIdwG2GdSDh7sAMs_!!2251059038.jpg
[],艺人：庄心妍,0,1,演唱会,956,惠州,[],艺人：庄心妍,1_1_610868363642,1813716340,False,0,1,0,0,庄心妍Saw The Light 全国巡回演唱会2020惠州站,庄心妍Saw The Light 全国巡回演唱会2020惠州站,280.0,280-880,880.0,[],610868363642,[],售票中,,2020.02.29-12.31,3,9,流行,,惠州江北体育馆,惠州,53768,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01r3lZB02GdSDmhslBC_!!2251059038.jpg
[],,0,5,曲苑杂坛,872,上海,[],,1_1_610545890213,1810491606,False,0,0,0,0,沪剧经典剧目公益展演《庵堂相会》,沪剧经典剧目公益展演《庵堂相会》,80.0,80,80.0,[],610545890213,[],售票中,,2020.07.23 周四 19:15,3,31,戏曲,,ET聚场(上海共舞台),上海,83,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01hgtsaJ2GdSDpQ6esm_!!2251059038.jpg
[],,0,7,展览休闲,2648,哈尔滨,[],,1_1_610407766786,1809110371,False,0,1,0,0,【开展中】哈尔滨抖拍星空艺术馆,【开展中】哈尔滨抖拍星空艺术馆,58.0,58,58.0,[],610407766786,[],售票中,,2019.12.21-2021.12.31,3,39,特色体验,,哈尔滨抖拍星空艺术馆,哈尔滨,2588005,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01PdEBFr2GdSDlQwDNn_!!2251059038.jpg
[],艺人：侧田,0,1,演唱会,1015,江门,[],艺人：侧田,1_1_609752552125,1802558225,False,0,1,0,1,侧田 My Beautiful Curse 巡回演唱会-江门站,侧田 My Beautiful Curse 巡回演唱会-江门站,380.0,380-1280,1280.0,[],609752552125,[],售票中,,2020.04.11-12.31,3,9,流行,,江门体育中心体育馆,江门,823014,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01UKW8eR2GdSDj2EukI_!!2251059038.jpg
[],,0,3,话剧歌剧,1580,杭州,[],,1_1_609912431505,1804157019,False,0,1,0,1,法语音乐剧《摇滚红与黑》-杭州站,法语音乐剧《摇滚红与黑》-杭州站,199.0,199-1099,1099.0,[],609912431505,[],售票中,,2020.10.02-10.03,3,22,音乐剧,,杭州大剧院(歌剧院),杭州,364,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01BCmA1K2GdSDdAolPK_!!2251059038.jpg
[],,0,3,话剧歌剧,1835,济南,[],,1_1_608315968424,1788192388,False,0,1,0,1,2018国家艺术基金项目-话剧《祖传秘方》-济南站,2018国家艺术基金项目-话剧《祖传秘方》-济南站,60.0,60-280,280.0,[],608315968424,[],售票中,,2020.02.21-12.31,3,19,话剧,,济南历山剧院,济南,340,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01dOhWU02GdSDKsvxN6_!!2251059038.jpg
[],艺人：陈楚生,0,1,演唱会,1580,杭州,[],艺人：陈楚生,1_1_607567170652,1780704410,False,0,1,0,1,陈楚生「你还好吗」2019-2020巡回演唱会-杭州站,陈楚生「你还好吗」2019-2020巡回演唱会-杭州站,180.0,180-980,980.0,[],607567170652,[],售票中,,2020.02.22-12.31,3,13,其他,,杭州剧院,杭州,365,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01yb05z42GdSDFy7qqG_!!0-item_pic.jpg
[],艺人：张韶涵,0,1,演唱会,1015,江门,[],艺人：张韶涵,1_1_606220752539,1767240229,False,0,1,0,1,2020 张韶涵「寓言」世界巡回演唱会-江门站,2020 张韶涵「寓言」世界巡回演唱会-江门站,288.0,288-1088,1088.0,[],606220752539,[],售票中,,2020.02.14-12.31,3,13,其他,,江门体育中心体育场,江门,1121007,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN011HznMX2GdSDmdrrie_!!2251059038.jpg
[],艺人：郭麒麟,0,3,话剧歌剧,1580,杭州,[],艺人：郭麒麟,1_1_606190997953,1766942683,False,0,1,0,1,老舍原著·郭麒麟阎鹤祥主演话剧《牛天赐》——杭州站,老舍原著·郭麒麟阎鹤祥主演话剧《牛天赐》——杭州站,180.0,180-1080,1080.0,[],606190997953,[],售票中,,2020.03.04-12.31,3,19,话剧,,杭州大剧院(歌剧院),杭州,364,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01sHvacD2GdSDGTpnBA_!!0-item_pic.jpg
