activityId,actors,category,subcategory,city
1834,艺人：陈佩斯、杨立新,话剧歌剧,话剧,杭州
1835,艺人：陈佩斯、杨立新,话剧歌剧,话剧,杭州
1836,艺人：陈佩斯、杨立新,话剧歌剧,话剧,杭州
1837,,话剧歌剧,话剧,成都
1838,,话剧歌剧,话剧,成都
1839,,话剧歌剧,话剧,成都
1840,,话剧歌剧,话剧,成都
1841,,话剧歌剧,话剧,成都
1842,,话剧歌剧,话剧,成都
1843,,话剧歌剧,话剧,成都
1844,,话剧歌剧,话剧,成都
1845,,话剧歌剧,话剧,成都
1846,艺人：林盛斌,话剧歌剧,话剧,广州
1847,艺人：林盛斌,话剧歌剧,话剧,广州
1848,艺人：林盛斌,话剧歌剧,话剧,广州
1849,艺人：林盛斌,话剧歌剧,话剧,广州
1850,艺人：林盛斌,话剧歌剧,话剧,广州
1851,艺人：林盛斌,话剧歌剧,话剧,广州
1852,艺人：林盛斌,话剧歌剧,话剧,广州
1853,艺人：林盛斌,话剧歌剧,话剧,广州
1854,艺人：林盛斌,话剧歌剧,话剧,广州
1855,,儿童亲子,其他儿童亲子,杭州
1856,,儿童亲子,其他儿童亲子,杭州
1857,,儿童亲子,其他儿童亲子,杭州
1858,,儿童亲子,其他儿童亲子,杭州
1859,,儿童亲子,其他儿童亲子,杭州
1860,,儿童亲子,其他儿童亲子,杭州
1861,,儿童亲子,其他儿童亲子,杭州
1862,,儿童亲子,其他儿童亲子,杭州
1863,,儿童亲子,其他儿童亲子,杭州
1864,,展览休闲,特色体验,成都
1865,,展览休闲,特色体验,成都
1866,,展览休闲,特色体验,成都
1867,,展览休闲,特色体验,成都
1868,,展览休闲,特色体验,成都
1869,,展览休闲,特色体验,成都
1870,,展览休闲,特色体验,成都
1871,,展览休闲,特色体验,成都
1872,,展览休闲,特色体验,成都
1873,艺人：蔡琴,演唱会,其他演唱会,海口
1874,艺人：蔡琴,演唱会,其他演唱会,海口
1875,艺人：蔡琴,演唱会,其他演唱会,海口
1876,艺人：蔡琴,演唱会,其他演唱会,海口
1877,艺人：蔡琴,演唱会,其他演唱会,海口
1878,艺人：蔡琴,演唱会,其他演唱会,海口
1879,艺人：蔡琴,演唱会,其他演唱会,海口
1880,艺人：蔡琴,演唱会,其他演唱会,海口
1881,艺人：蔡琴,演唱会,其他演唱会,海口
1882,艺人：洪辰,演唱会,其他演唱会,武汉
1883,艺人：洪辰,演唱会,其他演唱会,武汉
1884,艺人：洪辰,演唱会,其他演唱会,武汉
1885,艺人：洪辰,演唱会,其他演唱会,武汉
1886,艺人：洪辰,演唱会,其他演唱会,武汉
1887,艺人：洪辰,演唱会,其他演唱会,武汉
1888,艺人：洪辰,演唱会,其他演唱会,武汉
1889,艺人：洪辰,演唱会,其他演唱会,武汉
1890,艺人：洪辰,演唱会,其他演唱会,武汉
1891,,儿童亲子,其他儿童亲子,湖州
1892,,儿童亲子,其他儿童亲子,湖州
1893,,儿童亲子,其他儿童亲子,湖州
1894,,儿童亲子,其他儿童亲子,湖州
1895,,儿童亲子,其他儿童亲子,湖州
1896,,儿童亲子,其他儿童亲子,湖州
1897,,儿童亲子,其他儿童亲子,湖州
1898,,儿童亲子,其他儿童亲子,湖州
1899,,儿童亲子,其他儿童亲子,湖州
1900,,音乐会,其他音乐会,成都
1901,,音乐会,其他音乐会,成都
1902,,音乐会,其他音乐会,成都
1903,,音乐会,其他音乐会,成都
1904,,音乐会,其他音乐会,成都
1905,,音乐会,其他音乐会,成都
1906,,音乐会,其他音乐会,成都
1907,,音乐会,其他音乐会,成都
1908,,音乐会,其他音乐会,成都
1909,艺人：高杨,话剧歌剧,音乐剧,杭州
1910,艺人：高杨,话剧歌剧,音乐剧,杭州
1911,艺人：高杨,话剧歌剧,音乐剧,杭州
1912,艺人：高杨,话剧歌剧,音乐剧,杭州
1913,艺人：高杨,话剧歌剧,音乐剧,杭州
1914,艺人：高杨,话剧歌剧,音乐剧,杭州
1915,艺人：高杨,话剧歌剧,音乐剧,杭州
1916,艺人：高杨,话剧歌剧,音乐剧,杭州
1917,艺人：高杨,话剧歌剧,音乐剧,杭州
1918,,音乐会,其他音乐会,深圳
1919,,音乐会,其他音乐会,深圳
1920,,音乐会,其他音乐会,深圳
1921,,音乐会,其他音乐会,深圳
1922,,音乐会,其他音乐会,深圳
1923,,音乐会,其他音乐会,深圳
1924,,音乐会,其他音乐会,深圳
1925,,音乐会,其他音乐会,深圳
1926,,音乐会,其他音乐会,深圳
1927,,音乐会,其他音乐会,成都
1928,,音乐会,其他音乐会,成都
1929,,音乐会,其他音乐会,成都
1930,,音乐会,其他音乐会,成都
1931,,音乐会,其他音乐会,成都
1932,,音乐会,其他音乐会,成都
1933,,音乐会,其他音乐会,成都
1934,,音乐会,其他音乐会,成都
1935,,音乐会,其他音乐会,成都
1936,艺人：王传君,话剧歌剧,话剧,上海
1937,艺人：王传君,话剧歌剧,话剧,上海
1938,艺人：王传君,话剧歌剧,话剧,上海
1939,艺人：王传君,话剧歌剧,话剧,上海
1940,艺人：王传君,话剧歌剧,话剧,上海
1941,艺人：王传君,话剧歌剧,话剧,上海
1942,艺人：王传君,话剧歌剧,话剧,上海
1943,艺人：王传君,话剧歌剧,话剧,上海
1944,艺人：王传君,话剧歌剧,话剧,上海
1945,,音乐会,室内乐及古乐,杭州
1946,,音乐会,室内乐及古乐,杭州
1947,,音乐会,室内乐及古乐,杭州
1948,,音乐会,室内乐及古乐,杭州
1949,,音乐会,室内乐及古乐,杭州
1950,,音乐会,室内乐及古乐,杭州
1951,,音乐会,室内乐及古乐,杭州
1952,,音乐会,室内乐及古乐,杭州
1953,,音乐会,室内乐及古乐,杭州
1954,,儿童亲子,其他儿童亲子,杭州
1955,,儿童亲子,其他儿童亲子,杭州
1956,,儿童亲子,其他儿童亲子,杭州
1957,,儿童亲子,其他儿童亲子,杭州
1958,,儿童亲子,其他儿童亲子,杭州
1959,,儿童亲子,其他儿童亲子,杭州
1960,,儿童亲子,其他儿童亲子,杭州
1961,,儿童亲子,其他儿童亲子,杭州
1962,,儿童亲子,其他儿童亲子,杭州
1963,,话剧歌剧,话剧,上海
1964,,话剧歌剧,话剧,上海
1965,,话剧歌剧,话剧,上海
1966,,话剧歌剧,话剧,上海
1967,,话剧歌剧,话剧,上海
1968,,话剧歌剧,话剧,上海
1969,,话剧歌剧,话剧,上海
1970,,话剧歌剧,话剧,上海
1971,,话剧歌剧,话剧,上海
1972,,音乐会,其他音乐会,北京
1973,,音乐会,其他音乐会,北京
1974,,音乐会,其他音乐会,北京
1975,,音乐会,其他音乐会,北京
1976,,音乐会,其他音乐会,北京
1977,,音乐会,其他音乐会,北京
1978,,音乐会,其他音乐会,北京
1979,,音乐会,其他音乐会,北京
1980,,音乐会,其他音乐会,北京
1981,,展览休闲,展会,上海
1982,,展览休闲,展会,上海
1983,,展览休闲,展会,上海
